Num	Epoch	a		    e		    i		     w		     Node		  M		     Name
--	-----	----------	----------	---------	---------	---------	-----------	-----------------
0   54000   0.999988049532578  .01671681163160  0.0008854353079654   287.61577546182   175.40647696473  257.60683707535  Earth
1	56800	2.3614601	0.0886122	7.1404900	151.2172200	103.8512900	326.5320247	Vesta
2	56800	2.7670257	0.0757978	10.5938800	72.3949200	80.3283100	53.2956943	Ceres
3	56800	2.7717229	0.2313681	34.8410300	309.9258700	173.0969100	35.5031339	Pallas
4	56800	2.6436669	0.1875761	11.7389800	97.5755200	293.1872600	231.6613136	Eunomia
5	56800	2.6698585	0.2552210	12.9813800	248.3798200	169.8776400	347.9222474	Juno
6	56800	2.3859887	0.2304649	5.5243800	145.4366700	259.6357300	18.7124876	Iris
7	56800	2.4256236	0.2015443	14.7480300	239.3939100	138.7033400	337.0391372	Hebe
8	56800	2.7738603	0.1761899	16.3171000	75.9313400	107.5622200	320.4349618	Herculina
9	56800	2.5550426	0.0722091	6.0891900	61.9062400	356.4271200	211.2928142	Amphitrite
10	56800	2.9231037	0.1364730	3.0986900	227.1150000	150.2752800	295.2260981	Psyche
11	56800	2.9227720	0.0915192	8.2467700	346.5908200	32.3614000	148.7142222	Dembowska
12	56800	2.7689019	0.1139926	10.3799400	208.3269300	157.1181900	277.3494424	Laetitia
13	56800	2.3861438	0.1224288	5.5749100	5.8499200	68.9455700	156.2346952	Metis
14	56800	2.5868187	0.1659722	9.1184500	97.9962500	86.1637500	98.1894385	Irene
15	56800	2.7986757	0.1153520	18.3982600	5.9441000	140.3782800	314.9324301	Eleonora
16	56800	2.9104782	0.0998488	13.7167900	354.8715400	66.0852300	200.6666880	Kalliope
17	56800	2.2012552	0.1560953	5.8880900	285.4005300	110.9221400	11.5706603	Flora
18	56800	2.4093436	0.1429386	0.7080800	256.7372500	206.1766700	3.1730896	Massalia
19	56800	2.2955780	0.2186993	10.1326200	227.9850200	150.4696500	117.0342943	Melpomene
20	56800	2.4536670	0.0995412	4.6295300	195.8938600	125.5654000	176.6630849	Parthenope
21	56800	2.5509832	0.1826089	16.1391500	44.9619500	311.6061800	62.5094505	Julia
22	56800	2.8887792	0.2319867	14.9775000	314.1339600	84.0095700	246.0818426	Papagena
23	56800	2.5767883	0.0838394	16.5388300	80.0674000	43.2568800	119.1522081	Egeria
24	56800	2.7805217	0.1872383	7.9727100	304.9803600	44.1375300	238.5753326	Leto
25	56800	2.6857275	0.3367496	11.1027300	44.1440800	327.9352700	46.4532899	Bamberga
26	56800	2.5742269	0.1910191	5.3683100	358.8902000	141.5937900	212.4984989	Astraea
27	56800	2.6247433	0.2353817	10.1149500	60.8186800	66.8835600	278.4866244	Thalia
28	56800	2.2674357	0.0468625	4.2576400	268.6601600	94.2403500	308.9341603	Harmonia
29	56800	2.3471851	0.1723069	1.5837200	356.5120500	94.8003000	201.7858307	Euterpe
30	56800	2.4232195	0.1486061	3.7064300	343.4982600	131.5605900	332.2612235	Nysa
31	56800	2.7680744	0.1643310	5.2145700	35.9703500	276.6827200	24.1758679	Thisbe
32	56800	2.9756283	0.1701590	8.5859500	289.8351400	185.0392000	314.8551342	Hesperia
33	56800	2.8699309	0.2111221	12.2629500	110.9755100	135.7048900	295.2716063	Antigone
34	56800	2.7756343	0.1513758	9.4331600	344.5645100	144.3228000	249.2859513	Bellona
35	56800	2.7607126	0.2751359	15.7935500	46.0132800	178.0862200	107.3100150	Daphne
36	56800	2.4026601	0.2461525	6.8137500	30.0782600	343.2552700	242.6261277	Nausikaa
37	56800	2.4425297	0.1585433	1.5730600	182.3774000	211.1799600	92.0102180	Fortuna
38	56800	2.7958902	0.0992256	8.7587800	291.0535000	92.1077100	21.1445481	Hermentaria
39	56800	2.3337796	0.2213656	8.3686300	69.5513900	235.4905700	355.8351727	Victoria
40	56800	2.6431475	0.1735989	3.0725900	62.8954700	7.2984900	288.5379800	Fides
41	56800	2.7558776	0.1746987	23.2646400	266.8264000	316.0453600	236.6533060	Niobe
42	56800	2.7968152	0.2491750	13.0965000	180.3140200	215.4624800	50.5460450	Kleopatra
43	56800	2.3657983	0.0671741	9.9785000	2.0413900	176.0269200	328.9685958	Nemausa
44	56800	2.3824707	0.0616470	9.4432200	138.9791000	239.9174000	261.8684313	Athamantis
45	56800	2.4342406	0.1645780	3.0638500	250.2061200	80.8842700	237.0688350	Lutetia
46	56800	2.6552794	0.0902561	3.5634500	194.3303900	45.7937400	54.7022749	Proserpina
47	56800	2.7387702	0.2368220	18.1330000	157.3005100	128.2981500	69.9892413	Aquitania
48	56800	2.9221477	0.1957557	13.5116400	42.2904300	58.2048300	349.2990540	Rachele
49	56800	2.8967959	0.1711091	20.2543300	219.4998000	166.8908900	266.7752604	Siegena
50	56800	2.7203424	0.0831851	6.6033600	88.6892400	147.6817700	2.4602579	Eugenia
51	56800	2.7503582	0.1245631	6.2485900	303.2863000	76.4052900	43.4789674	Nemesis
52	56800	2.8498383	0.1224411	13.5517100	187.6430100	345.0254900	3.0662025	Ilmatar
53	56800	2.3801076	0.1919356	11.6002500	96.7585200	308.9138100	253.8475088	Thyra
54	56800	2.4424234	0.2222307	8.5261400	236.6048600	84.3587200	99.4343483	Isis
55	56800	2.3951995	0.1276993	5.7799300	296.1248600	337.7683300	20.7226832	Ausonia
56	56800	2.5876600	0.0802748	5.5236400	338.8008600	220.4611200	326.4663732	Pomona
57	56800	2.3658472	0.1268322	2.0980700	86.7068000	307.6340800	262.1427236	Urania
58	56800	2.6547425	0.1927867	11.9506900	123.0051500	203.1711900	170.0220325	Io
59	56800	2.5760004	0.0729183	11.2603900	354.0153300	242.2042800	69.2661260	Aspasia
60	56800	2.7373499	0.1293432	23.2380200	224.2523700	153.8432600	153.1446418	Eunike
61	56800	2.6710628	0.2546372	11.7827300	268.5387300	159.7073000	264.5552449	Klotho
62	56800	2.7717931	0.1843812	25.3135200	252.3507100	145.0890400	340.1247301	Gallia
63	56800	2.7021536	0.0813783	5.4192600	188.6975100	136.1890200	315.4583708	Hera
64	56800	2.7106148	0.1982863	11.8015600	345.2985100	313.3371700	340.3608058	Alexandra
65	56800	2.7436620	0.2060049	14.2116600	227.9846000	148.2728700	4.8113959	Ino
66	56800	2.6824268	0.1269338	1.3103500	178.8935000	309.1552500	354.5807140	Angelina
