Mach	Cl(alpha=0)
0.30	0.11786035
0.40	0.11791162
0.60	0.12879775
0.80	0.14185303
0.90	0.14622085
0.95	0.10520906
1.05	0.14845371
1.10	0.13767634
1.25	0.094556004
1.40	0.05358927
1.60	0.023449628
1.80	0.010585467
2.00	-1.14206516E-4
2.50	-0.017156616
3.00	-0.021236973
4.00	-0.031559065
4.60	-0.03558815
6.00	-0.043556187
7.00	-0.043076057
8.00	-0.042595923
9.00	-0.03995752

Mach	Cl(alpha=5)
0.30	0.3964745
0.40	0.4073218
0.60	0.43117622
0.80	0.46582973
0.90	0.4507607
0.95	0.46374604
1.05	0.4918657
1.10	0.487574
1.25	0.4206863
1.40	0.35380635
1.60	0.291274
1.80	0.25464556
2.00	0.23314056
2.50	0.17938736
3.00	0.11915158
4.00	0.072114035
4.60	0.061603926
6.00	0.038517118
7.00	0.030357955
8.00	0.026518442
9.00	0.024835644

Mach	Cl(alpha=10)
0.30	0.5501089
0.40	0.55664486
0.60	0.59150326
0.80	0.6198257
0.90	0.60893244
0.95	0.6328976
1.05	0.66993463
1.10	0.65686274
1.25	0.57843137
1.40	0.5043573
1.60	0.43681917
1.80	0.3888889
2.00	0.3496732
2.50	0.2777778
3.00	0.27124184
4.00	0.19716775
4.60	0.1819172
6.00	0.15359478
7.00	0.13834423
8.00	0.12527233
9.00	0.11873639


Mach	Cl(alpha=15)
0.30	0.8543572
0.40	0.8716855
0.60	0.89985955
0.8	0.8869938
0.90	0.8719201
0.95	0.92810816
1.05	0.96487176
1.10	0.9476134
1.25	0.88504845
1.40	0.80088985
1.60	0.70163274
1.80	0.634773
2.00	0.57655567
2.50	0.48392564
3.00	0.43232605
4.00	0.3528927
4.60	0.32510087
6.00	0.29769754
7.00	0.28305578
8.00	0.26841715
9.00	0.26241472

Mach	Cl(alpha=20)
0.30	1.193451
0.40	1.2280549
0.60	1.1979152
0.80	1.1094573
0.90	1.0943866
0.95	1.1484056
1.05	1.1981374
1.10	1.1959932
1.25	1.1485516
1.40	1.0665467
1.60	0.9543337
1.80	0.8615576
2.00	0.79469943
2.50	0.6934254
3.00	0.6007954
4.00	0.5127228
4.60	0.48493096
6.00	0.46832207
7.00	0.45152515
8.00	0.43040705
9.00	0.42656288

Mach	Cl(alpha=25)
0.30	NaN
0.40	NaN
0.60	NaN
0.80	NaN
0.90	NaN
0.95	NaN
1.05	NaN
1.10	NaN
1.25	NaN
1.40	NaN
1.60	NaN
1.80	NaN
2.00	NaN
2.50	NaN
3.00	0.7735782
4.00	0.68550557
4.60	0.6577153
6.00	0.64974725
7.00	0.6329488
8.00	0.6096693
9.00	0.61014944

Mach	Cl(alpha=30)
0.30	NaN
0.40	NaN
0.60	NaN
0.80	NaN
0.90	NaN
0.95	NaN
1.05	NaN
1.10	NaN
1.25	NaN
1.40	NaN
1.60	NaN
1.80	NaN
2.00	NaN
2.50	NaN
3.00	0.9463672
4.00	0.86693233
4.60	0.83050746
6.00	0.8268528
7.00	0.80573314
8.00	0.786778
9.00	0.78509367

Mach	Cl(alpha=35)
0.30	NaN
0.40	NaN
0.60	NaN
0.80	NaN
0.90	NaN
0.95	NaN
1.05	NaN
1.10	NaN
1.25	NaN
1.40	NaN
1.60	NaN
1.80	NaN
2.00	NaN
2.50	NaN
3.00	1.1256264
4.00	1.065633
4.60	1.0076067
6.00	0.991001
7.00	0.9698798
8.00	0.95524114
9.00	0.9621992
